0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,SO2 Concentration in µg/m3,,,,,,,
,,,,,,,,,,No. of,,,,,,,,,,
,,,,City/ Town/,,,,,,,,,Minimum,,,Maximum,,,,
,State / UT,,,,,,Location,,,monitoring,,,,,,,,,Annual,
,,,,Village,,,,,,,,,(24-hourly,,,(24-hourly,,,,
,,,,,,,,,,days,,,,,,,,,Average,
,,,,,,,,,,,,,average),,,average),,,,
,,,,,,,,,,,,,,,,,,,,
"Andhra
,,,,,,"Sterling Gelatin Guest House, Vill-Karakhadi
Padia",,,87,,,11,,,43,,,20,,
,,,,,,Dandia Bazaar,,,88,,,12,,,41,,,20,,
,,,,,,CETP Nandesari,,,85,,,13,,,46,,,22,,
,,,,,,Lubrizol,,,87,,,11,,,45,,,21,,
,,,Vapi,,,"GEB, IIIrd Phase, GIDC",,,86,,,9,,,38,,,21,,
,,,,,,"Vapi Nagar Palika, Vapi",,,87,,,9,,,35,,,18,,
"Himachal
Pradesh",,,Baddi,,,Industry Department Office Building,,,122,,,2,,,2,,,2,,
,,,,,,AHC barotiwala,,,111,,,2,,,2,,,2,,
,,,,,,Housing Board,,,52,,,2,,,2,,,2,,
,,,Damtal,,,Regional Office,,,120,,,2,,,2,,,2,,
,,,,,,Old Road,,,114,,,2,,,2,,,2,,
,,,Dharamshala,,,Kotwali Bazar Dharamshala,,,85,,,2,,,2,,,2,,
,,,,,,"Daari, Dharamshala",,,122,,,2,,,2,,,2,,
,,,Gulaba,,,Behind green tax barrier,,,19,,,2,,,3,,,2,,
,,,Kala Amb,,,Kala Amb Industrial Area,,,166,,,2,,,8,,,3,,
,,,,,,Kala Amb Town/Trilokpur,,,161,,,2,,,8,,,3,,
,,,Manali,,,"Nehru Park, Manali, Kullu",,,88,,,2,,,4,,,2,,
,,,,,,"HPSPCB, Hadimba Road, Manali, Kullu",,,72,,,2,,,2,,,2,,
,,,Marhi,,,Behind Police check post,,,12,,,2,,,2,,,,,
,,,Nalagarh,,,Municipal Council,,,113,,,2,,,2,,,2,,
,,,Paonta Sahib,,,Paonta Sahib,,,165,,,2,,,8,,,3,,
,,,,,,Gondhpur Industrial Area,,,120,,,2,,,5,,,3,,
,,,Parwanoo,,,"Regional Office, Sector- 4",,,133,,,2,,,4,,,2,,
,,,,,,Asst. Commissioner Building Sector I,,,121,,,2,,,4,,,2,,
,,,Shimla,,,"Bus Stand, Winterfield",,,203,,,2,,,7,,,2,,
,,,Sunder Nagar,,,"HPSPCB, BBMB Colony, Mandi",,,143,,,2,,,2,,,2,,
,,,,,,"Muncipal Council, NH-21, Mandi",,,107,,,2,,,2,,,2,,
,,,Una,,,"Regional Office, Una",,,17,,,2,,,3,,,,,
,,,Vashisht,,,"Behind pollution check barrier, Bahang /
Station No.-II1, Bahang",,,44,,,2,,,4,,,2,,
"Jammu &
Kashmir",,,Jammu,,,"Regional Office, Jammu",,,66,,,2,,,5,,,3,,
,,,,,,"M.A. Stadium, Jewel Chowk",,,62,,,2,,,5,,,3,,
,,,,,,Bari Brahamana Industrial Area,,,73,,,2,,,4,,,3,,
Jharkhand,,,Barajamda,,,Barajamda U.M. Office,,,91,,,13,,,35,,,17,,
,,,Dhanbad,,,R.O. Dhanbad,,,102,,,11,,,16,,,14,,
,,,,,,"EMTI, Bastacola",,,75,,,11,,,18,,,13,,
,,,,,,"CGM Office, Kusunda",,,100,,,10,,,17,,,13,,
,,,Jamshedpur,,,Bistupur Vehical Testing Centre,,,93,,,30,,,44,,,39,,
,,,,,,Golmuri Vehicle Testing Centre,,,91,,,31,,,42,,,38,,
,,,Jharia,,,M.A.D.A.,,,105,,,12,,,17,,,14,,
,,,Ranchi,,,"Albert Ekka Chowk, Main Road",,,96,,,11,,,27,,,18,,
,,,Saraikela,,,"RO Building, Adityapur",,,91,,,30,,,43,,,37,,
,,,Sindri,,,BIT / PDIL,,,73,,,10,,,16,,,13,,
Karnataka,,,Bagalkote,,,Bagalkote KSPCB Office Premises,,,85,,,2,,,2,,,2,,
,,,Bangalore,,,"Graphite India, White Field Road",,,83,,,2,,,2,,,2,,
,,,,,,"AMCO Batteries, Mysore Road",,,107,,,2,,,2,,,2,,
,,,,,,"KHB Industrial Area, Yelahanka",,,80,,,2,,,2,,,2,,
,,,,,,Peenya Industrial Area,,,52,,,2,,,2,,,2,,
,,,,,,Victoria hospital,,,103,,,2,,,2,,,2,,
,,,,,,Yeshwanthpura police station,,,100,,,2,,,2,,,2,,
,,,,,,"Jnanabharathi, Bangalore University",,,102,,,4,,,12,,,7,,
,,,,,,,,,,,,,SO2 Concentration in µg/m3,,,,,,,
,,,,,,,,,,No. of,,,,,,,,,,
,,,,City/ Town/,,,,,,,,,Minimum,,,Maximum,,,,
,State / UT,,,,,,Location,,,monitoring,,,,,,,,,Annual,
,,,,Village,,,,,,,,,(24-hourly,,,(24-hourly,,,,
,,,,,,,,,,days,,,,,,,,,Average,
,,,,,,,,,,,,,average),,,average),,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,"RV College of Engineering, Mysore Road",,,1,,,8,,,8,,,,,
,,,,,,"TERI office, Vital Medi healthcare Pvt Ltd",,,108,,,2,,,2,,,2,,
,,,Belgaum,,,Karnataka SPCB Office Building,,,52,,,2,,,9,,,2,,
,,,Bidar,,,KSPCB Office Premises,,,52,,,2,,,4,,,2,,
,,,Bijapur,,,KSPCB Office Premises,,,38,,,2,,,2,,,2,,
,,,Chitradurga,,,KSPCB Office Premises,,,105,,,2,,,20,,,6,,
,,,Devanagere,,,"Regional Office building, KSPCB",,,94,,,2,,,20,,,6,,
,,,,,,"Mothi Theatre, Gandhi Circle, P.B. Road /
Traffic Police Station",,,80,,,5,,,30,,,20,,
,,,,,,"HPF Intakewell, Kumarapattnam",,,102,,,2,,,13,,,5,,
,,,Gulburga,,,Government Hospital,,,50,,,2,,,4,,,3,,
,,,Hassan,,,KSRTC bus stand building,,,104,,,2,,,5,,,3,,
,,,Hubli-Dharwad,,,"Lakkamanahalli Industrial Area, Dharwad",,,105,,,4,,,6,,,4,,
,,,,,,"Rani Chennamma Circle, Hubli",,,104,,,4,,,6,,,5,,
,,,Kolar,,,"KSPCB Office Premises, Kolar",,,98,,,2,,,2,,,2,,
,,,Mandya,,,"KSPCB Building, Bandigowda Badarahe",,,107,,,2,,,9,,,2,,
,,,Mangalore,,,Baikampady Industrial Area,,,92,,,5,,,9,,,7,,
,,,Mysore,,,"K.R.Circle, Visvesvaraya Bldg",,,111,,,2,,,12,,,2,,
,,,,,,KSPCB Bldg. Hebbal Ind. Area,,,1,,,10,,,10,,,,,
,,,Raichur,,,"KSPCB Office Premises, Raichur",,,77,,,2,,,7,,,2,,
,,,Shimaga,,,"The VISL, Oxygen Plant, Shimoga",,,100,,,3,,,50,,,24,,
,,,Timukuru,,,KSPCB Office Premises,,,103,,,2,,,2,,,2,,
Kerala,,,Alappuzha,,,"District Office, Alissery Road",,,107,,,2,,,2,,,2,,
,,,,,,"DC Mills, Pathirappally",,,25,,,2,,,2,,,2,,
,,,,,,William Goodacre Power House Bridge,,,71,,,2,,,5,,,2,,
,,,Kochi,,,"Eloor I, FACT, Ambalamughal",,,107,,,2,,,5,,,3,,
,,,,,,Eloor II,,,102,,,2,,,5,,,3,,
,,,,,,Irumpanam,,,105,,,2,,,3,,,2,,
,,,,,,Ernakulum South,,,65,,,2,,,2,,,2,,
,,,,,,VYTTILA,,,105,,,2,,,2,,,2,,
,,,,,,MG Road Bank Ernakulum,,,105,,,2,,,2,,,2,,
,,,,,,KALAMASSERY / CSIR Complex,,,103,,,2,,,3,,,2,,
,,,,,,Kuttipadam,,,42,,,2,,,12,,,5,,
,,,Kollam,,,"KSPCB, District Office, Kadappakada",,,110,,,2,,,3,,,2,,
,,,,,,KMML Chavara,,,110,,,2,,,5,,,3,,
,,,Kottayam,,,Kottayam,,,119,,,2,,,3,,,2,,
,,,,,,Vadavathoor,,,119,,,2,,,4,,,3,,
,,,Kozhikode,,,Kozhikode City,,,103,,,2,,,2,,,2,,
,,,,,,Nallalam,,,69,,,2,,,2,,,2,,
,,,Malapuram,,,"Kakkanchery, Sijmak oils",,,107,,,2,,,2,,,2,,
,,,Palakkad,,,SEPR Refractories India Ltd.,,,98,,,2,,,10,,,2,,
,,,Pathanamthitta,,,"KSPCB, Makkamkunnu",,,100,,,2,,,2,,,2,,
,,,"Thiruvananthapu
ram",,,PRS Hospital/COSMO,,,105,,,3,,,20,,,9,,
,,,,,,SMV School,,,105,,,4,,,22,,,9,,
,,,,,,VELI / HiTech Chackai,,,105,,,6,,,28,,,10,,
,,,,,,PETTAH / Sasthamangalam(plamadou),,,105,,,4,,,18,,,8,,
,,,Thissur,,,"KSPCB, District Office, Poonkunnam",,,104,,,2,,,12,,,3,,
